measurement_id,dataset_id,complex_id,value,error
119,0,3,0.144663985563,0.04481487904699999
120,0,375,0.00330136915464,0.0010447691043400003
121,0,3,0.16849384915,0.03840179920199999
122,0,890,0.0994217709369,0.022314244634100006
123,0,143,0.000370489719584,0.00026848021360299996
124,0,3,0.111742079356,0.04336348958200001
125,0,3,0.124108872627,0.05738713830900001
126,0,3,0.142068113316,0.05289901444299999
127,0,155,0.003815153885,0.0012982329712800003
128,0,231,0.0023071465377,0.0006222814564499999
129,0,785,6.08461122418e-06,2.95553902488e-06
130,0,3,0.141540086098,0.083642508478
131,0,1096,2.31915266291e-05,1.3607766449399997e-05
132,0,1,0.149192615106,0.05400150641200002
133,0,139,0.00565185164972,0.002811620137699999
134,0,1219,0.000113997406533,2.0782585449999994e-05
135,0,239,0.000206085019477,9.1903580513e-05
136,0,1201,5.20312244168e-05,2.93673437665e-05
137,0,143,0.000648314287688,0.00019999172418600002
138,0,3,0.143572421498,0.04060560087199999
139,0,3,0.189954837574,0.048691507725
140,0,183,0.00438096877665,0.00199933702723
141,0,39,0.0652105364151,0.0258615154551
142,0,143,0.000455372501228,0.00020305054454799993
143,0,1076,0.00950794035911,0.00428855918099
144,0,948,0.000464091146883,0.000308417702122
145,0,3,0.192049058225,0.08915541464300002
146,0,3,0.148820666104,0.037074024983
147,0,3,0.135356574142,0.03139864707699999
148,0,3,0.172923355174,0.07364464745399998
149,0,3,0.194643503093,0.068114976197
150,0,3,0.176408828912,0.056996827338999995
151,0,3,0.198069855436,0.05835401147899999
152,0,3,0.141395033694,0.027330524745
153,0,386,2.93472368926e-05,1.3312735809699998e-05
154,0,3,0.117831751129,0.035650753103999996
155,0,23,0.0149468910232,0.0073813629216799995
156,0,175,0.027320514678,0.008343500579199997
157,0,3,0.123803657402,0.027427430190999996
158,0,3,0.142307460113,0.036673420436
159,0,1810,0.00308909884236,0.0006094988108200001
160,0,3,0.155280494282,0.039558306625
161,0,99,0.117582493729,0.02776552951309999
162,0,3,0.155885824542,0.025351554080000005
163,0,3,0.161015591803,0.05037514973700001
164,0,71,0.0198875800928,0.009364579557500002
165,0,3,0.232138962097,0.09757239179499999
166,0,3,0.125154413843,0.076718007585
167,0,3,0.109057674213,0.060536508542999995
168,0,235,0.00267308262,0.0006451403253500002
169,0,3,0.169088707909,0.038250808163
170,0,361,0.000160364543832,4.7326508435999995e-05
171,0,3,0.16253713512,0.028190139781999995
172,0,67,0.000342739143028,0.00013573436919499997
173,0,423,0.000759148723257,0.00018950582891800007
174,0,438,7.25865384979e-05,3.6874115081100004e-05
175,0,55,0.0102985089134,0.0096163380341
176,0,3,0.0909094827892,0.0795189150018
177,0,3,0.155706547633,0.04640475895100002
178,0,3,0.175349743447,0.036827849952
179,0,170,0.00754514859877,0.00516957341913
180,0,3,0.148651223417,0.03629554849900002
181,0,16,0.00110652401463,0.00022897904563000003
182,0,67,0.000126227489357,7.727684153199999e-05
183,0,712,0.00101284190548,0.000233670804486
184,0,3,0.188501822182,0.062136611684000004
185,0,3,0.124213347113,0.033969474747100006
186,0,1528,0.000358193784261,0.00013222647020400008
187,0,3,0.161310035576,0.05590740787999998
188,0,3,0.201918570491,0.04642122258300002
189,0,111,0.16094051196,0.046791808123
190,0,3,0.149898047325,0.048643012146
191,0,3,0.14503297926,0.031927044902999996
192,0,3,0.190715944368,0.05801570373699999
193,0,3,0.162578805864,0.034005678070999995
194,0,3,0.192189304283,0.06734158228199999
195,0,115,0.202830481783,0.06972189940500001
196,0,357,4.89259108734e-06,3.997558909885e-06
197,0,1608,0.000466484927228,0.00018859648977099998
198,0,1813,0.00246509186769,0.0008140603270100002
199,0,1849,7.00746610206e-06,4.364458092459999e-06
200,0,3,0.146578193271,0.034062422117
201,0,37,0.0183126678962,0.019450829679399997
202,0,3,0.102219415567,0.06223378883000001
203,0,3,0.151556762611,0.07275678036699998
204,0,3,0.152516793537,0.040243551848000006
205,0,3,0.151548154053,0.03368361745800001
206,0,319,0.016448281854,0.0035468885240999976
207,0,3,0.149317333811,0.04329499003200002
208,0,1904,4.5674760142e-06,3.739735194104e-06
209,0,1716,1.23524460096e-05,4.0192524674e-06
210,0,3,0.186577800128,0.05086924897099998
211,0,3,0.12327903004,0.028523827767000007
212,0,3,0.170299977373,0.08611770879699998
213,0,3,0.127656696865,0.038929424652
214,0,354,0.000155725789057,3.3627416052e-05
215,0,163,0.0331421064186,0.0106709180301
216,0,734,3.57084704267e-06,3.2383944139499997e-06
217,0,123,0.00832853441303,0.0022434262036700008
218,0,1869,4.05023623008e-05,9.536415251899996e-06
219,0,3,0.185259244489,0.049047330683999996
220,0,3,0.155850458553,0.057491863713700006
221,0,139,0.0099094097752,0.004351628896360001
222,0,3,0.157786670159,0.06574830909500001
223,0,79,0.076537643714,0.028838884371000004
224,0,3,0.110129368458,0.043626007169
225,0,51,0.0278115162777,0.018040895178499997
226,0,3,0.139908942532,0.052183622252999995
227,0,655,0.000307986093605,9.053331843699998e-05
228,0,1923,0.00121871787803,0.0003879397839020001
229,0,1425,0.0145167435799,0.006374892324500002
230,0,103,0.118551702233,0.04868546775220001
231,0,471,0.00746887233243,0.0022416612772600004
232,0,1772,0.000167591556943,3.0775761624999995e-05
233,0,3,0.160766669969,0.05206300936400002
234,0,3,0.192998656988,0.04972565166199999
235,0,3,0.165302392108,0.06366671012399999
236,0,111,0.123450940983,0.026585274434799994
237,0,3,0.169573461125,0.04334408864299999
238,0,59,0.00586717574718,0.0028121415385100003
239,0,239,0.000168751602371,4.196232560700001e-05
240,0,846,1.00845326971e-05,3.4634132478e-06
241,0,3,0.14439330211,0.04614995992670001
242,0,83,0.158424484113,0.05081239728300001
243,0,3,0.157915538993,0.048077597936
244,0,179,0.0146784922323,0.007067741217799999
245,0,139,0.00709493441976,0.0050785079836400005
246,0,51,0.103646506238,0.0758373176338
247,0,1558,0.000176430013529,3.709415194399999e-05
248,0,3,0.138165907972,0.06821111424599999
249,0,3,0.143878044818,0.041482351203999984
250,0,3,0.113475157493,0.088025721709
251,0,3,0.14318491042,0.04852206057799999
252,0,560,0.00322052255632,0.00141227065396
253,0,3,0.256877456682,0.08190310066200002
254,0,3,0.121653067993,0.06004943371
255,0,3,0.132984306226,0.051632121631000005
256,0,569,0.0270051235256,0.0156755145244
